,genre,artists
0,psych-rock,The Beatles
1,honky-tonk,George Jones
2,funk,Stevie Wonder
3,grunge,Linkin Park
4,blues,Ella Fitzgerald
5,singer-songwriter,Prateek Kuhad
6,latino,Feid
7,rockabilly,Chuck Berry
8,goth,Håkan Hellström
9,piano,OneRepublic
10,psych-rock,The Beach Boys
11,cantopop,my little airport
12,rockabilly,Elvis Presley
13,hard-rock,Charlie Brown Jr.
14,metal,Red Hot Chili Peppers
15,singer-songwriter,Bryan Adams
16,happy,Scooter
17,latino,Daddy Yankee
18,garage,Arctic Monkeys
19,k-pop,BTS
20,j-pop,Norah Jones
21,happy,The Prophet
22,honky-tonk,Hank Williams
23,club,Glee Cast
24,latino,Don Omar
25,j-dance,Vybz Kartel
26,hardcore,Los Prisioneros
27,children,CoComelon
28,singer-songwriter,Anupam Roy
29,j-idol,Seiko Matsuda
30,dancehall,Burna Boy
31,power-pop,Weezer
32,jazz,Dean Martin
33,disney,Germaine Franco
34,industrial,Rob Zombie
35,honky-tonk,Hank Williams;Drifting Cowboys
36,industrial,Marilyn Manson
37,latino,J Balvin
38,rockabilly,Eikichi Yazawa
39,jazz,Nat King Cole
40,cantopop,Eason Chan
41,heavy-metal,Almafuerte
42,r-n-b,Maneva
43,guitar,Little Symphony
44,groove,Lamb of God
45,new-age,Yiruma
46,mandopop,Jay Chou
47,tango,Carlos Gardel
48,industrial,Rammstein
49,new-age,Dan Gibson's Solitudes
50,psych-rock,Pink Floyd
51,malay,Sujatha
52,grindcore,Napalm Death
53,j-idol,Nogizaka46
54,rockabilly,BOØWY
55,electro,Wisin & Yandel
56,study,"Sarah, the Illstrumentalist"
57,romance,Oleg Pogudin
58,grunge,Nirvana
59,j-idol,Shiritsu Ebisu Chugaku
60,classical,Wolfgang Amadeus Mozart;Danielle Laval
61,minimal-techno,Boris Brejcha
62,indie-pop,Ritviz
63,jazz,Peggy Lee
64,emo,PXNDX
65,rockabilly,Brenda Lee
66,breakbeat,The Chemical Brothers
67,soul,The Jackson 5
68,iranian,Alphaxone
69,world-music,Hillsong Worship
70,samba,Exaltasamba
71,synth-pop,Tove Lo
72,detroit-techno,Robert Hood
73,world-music,Chris Tomlin
74,hip-hop,Jack Harlow
75,heavy-metal,Carajo
76,power-pop,Jimmy Eat World
77,r-n-b,Legião Urbana
78,punk-rock,blink-182
79,emo,XXXTENTACION
80,new-age,Jim Brickman
81,breakbeat,The Prodigy
82,ambient,Cigarettes After Sex
83,latino,Daddy Yankee;Bad Bunny
84,british,Adele
85,sertanejo,Henrique & Juliano
86,j-rock,Mr.Children
87,swedish,ABBA
88,ska,Soda Stereo
89,indie-pop,Ellie Goulding
90,party,Mickie Krause
91,reggaeton,KAROL G
92,electro,Billie Eilish
93,hard-rock,Matanza
94,trance,Armin van Buuren
95,kids,Koo Koo Kanga Roo
96,anime,Official HIGE DANdism
97,j-rock,RADWIMPS
98,hard-rock,Ghost
99,romance,Vadim Kozin
100,punk-rock,Charly García
101,death-metal,Gojira
102,forro,Os Barões Da Pisadinha
103,disco,The Supremes
104,afrobeat,Criolo
105,latino,Jhayco;Bad Bunny
106,honky-tonk,Ray Price
107,groove,Trazendo a Arca
108,metalcore,Bring Me The Horizon
109,latin,Jhayco
110,ska,Los Caligaris
111,study,Timothy Infinite
112,singer-songwriter,John Mayer
113,afrobeat,BaianaSystem
114,heavy-metal,Rata Blanca
115,kids,Cooltime Kids
116,j-idol,Keyakizaka46
117,british,The Rolling Stones
118,pagode,Sorriso Maroto
119,j-pop,Jamie Cullum
120,goth,Nightwish
121,disney,Randy Newman
122,garage,Royal Blood
123,metalcore,Bullet For My Valentine
124,samba,Zeca Pagodinho
125,british,Lorne Balfe
126,samba,Jorge Aragão
127,chill,Pink Sweat$
128,bluegrass,Greensky Bluegrass
129,folk,Tom Petty and the Heartbreakers
130,dance,Bruno Mars;Anderson .Paak;Silk Sonic
131,study,Justnormal
132,pop,Justin Bieber
133,j-dance,Chronic Law
134,kids,Mini Pop Kids
135,kids,Dora The Explorer
136,comedy,Kathleen Madigan
137,groove,Kemuel
138,j-rock,ONE OK ROCK
139,heavy-metal,Asspera
140,alt-rock,The Neighbourhood
141,detroit-techno,Inner City
142,punk,Patricio Rey y sus Redonditos de Ricota
143,grunge,Nickelback
144,heavy-metal,Stam1na
145,anime,Kato
146,forro,Calcinha Preta
147,samba,Tim Maia
148,trance,Tiësto;Charli XCX
149,latino,J Balvin;Bad Bunny
150,children,Kidz Bop Kids
151,latino,Jhayco;Anuel AA
152,kids,Blake Rules;Netherfriends
153,ska,Lasse Stefanz
154,study,Matt Large
155,heavy-metal,Hermetica
156,chicago-house,Paul Johnson
157,rockabilly,The Platters
158,gospel,Gerson Rufino
159,r-n-b,O Rappa
160,detroit-techno,Omar S
161,folk,When Chai Met Toast
162,disney,Alan Menken
163,detroit-techno,Drexciya
164,emo,My Chemical Romance
165,garage,The Strokes
166,classical,Robert Schumann;Pavel Nersessian
167,grunge,Shinedown
168,afrobeat,Jorge Drexler
169,r-n-b,Kid Abelha
170,pop-film,Arijit Singh
171,indie-pop,salem ilese
172,latino,Kevin Roldan
173,j-idol,Momoiro Clover Z
174,deep-house,Robin Schulz;David Guetta
175,acoustic,Jason Mraz
176,romance,Nikolay Kopylov
177,hard-rock,Scorpions
178,latino,J Balvin;Maria Becerra
179,punk-rock,Die Toten Hosen
180,ska,Biquini Cavadão
181,piano,Billy Joel
182,trip-hop,FKA twigs
183,indie-pop,The Local Train
184,singer-songwriter,Jax
185,metal,Skillet
186,electronic,Babasónicos
187,children,The Wiggles
188,ambient,Novo Amor
189,afrobeat,Los Amigos Invisibles
190,hard-rock,Metallica
191,new-age,Enigma
192,study,Jobii
193,groove,Five Finger Death Punch
194,romance,Sergei Lemeshev
195,cantopop,Faye Wong
196,hard-rock,Raimundos
197,anime,ENHYPEN
198,edm,Mabel
199,singer-songwriter,Sara Kays
200,edm,Avicii
201,j-idol,=LOVE
202,progressive-house,Marshmello;Bastille
203,psych-rock,Steve Miller Band
204,latino,Bad Bunny
205,sertanejo,Matheus & Kauan
206,samba,Diogo Nogueira
207,electro,The Chainsmokers
208,piano,Smyang Piano
209,children,The Kiboomers
210,sleep,Weißes Rauschen HD
211,pop,Sam Smith
212,hardcore,Misfits
213,hip-hop,Sidhu Moose Wala
214,hard-rock,Titãs
215,k-pop,Yuvan Shankar Raja
216,trip-hop,Bonobo
217,k-pop,BLACKPINK
218,j-idol,AKB48
219,folk,Nusrat Fateh Ali Khan
220,german,Hans Zimmer
221,indie-pop,Halsey
222,romance,"Группа ""Загадка"""
223,singer-songwriter,Stephen Sanchez
224,tango,Julio Sosa
225,j-rock,Creep Hyp
226,samba,Art Popular
227,soul,The Temptations
228,goth,Siouxsie and the Banshees
229,indie-pop,Glass Animals
230,rockabilly,Toini & The Tomcats
231,garage,The Black Keys
232,bluegrass,Trampled by Turtles
233,latino,Alejo;Feid;ROBI
234,kids,Jack Hartmann
235,british,Peppa Pig
236,disney,Cameron's Bedtime Classics
237,world-music,Planetshakers
238,mpb,Jota Quest
239,j-rock,Mrs. GREEN APPLE
240,grunge,Breaking Benjamin
241,ambient,Ludovico Einaudi
242,hip-hop,Lizzo
243,chicago-house,Mr. Fingers
244,latino,Ozuna
245,latino,Anuel AA;KAROL G
246,alt-rock,The Score
247,blues,Nina Simone
248,sleep,Rain Sounds
249,sertanejo,Bruno & Marrone
250,indian,Pritam;Arijit Singh
251,ska,Panteon Rococo
252,latin,Mariah Angeliq
253,new-age,Yanni
254,party,Höhner
255,heavy-metal,Riff
256,opera,Andrea Bocelli
257,death-metal,The Acacia Strain
258,hard-rock,Guns N' Roses
259,grunge,Alter Bridge
260,samba,Maria Bethânia
261,grunge,3 Doors Down
262,singer-songwriter,Anson Seabra
263,new-age,George Winston
264,gospel,Oficina G3
265,electronic,Miranda!
266,alt-rock,The 1975
267,british,YUNGBLUD
268,dubstep,Porter Robinson
269,dance,Lady Gaga
270,goth,New Model Army
271,mandopop,G.E.M.
272,emo,Fall Out Boy
273,folk,Kailash Kher
274,children,Rolf Zuckowski
275,gospel,Aline Barros
276,hard-rock,Megadeth
277,black-metal,Cradle Of Filth
278,j-pop,Michael Bublé
279,dance,Charlie Puth
280,grunge,Three Days Grace
281,detroit-techno,Theo Parrish
282,electro,Alessia Cara
283,rockabilly,The Drifters
284,romance,Ivan Rebroff
285,children,Cri-Cri
286,blues,Lynyrd Skynyrd
287,breakbeat,Orbital
288,indian,Anuv Jain
289,new-age,Paul Cardall
290,ska,Sumo
291,guitar,Cuco Sánchez
292,ambient,Sleeping At Last
293,world-music,Phil Wickham
294,emo,Lund
295,children,Pinkfong
296,bluegrass,The Avett Brothers
297,party,Brings
298,ska,Attaque 77
299,heavy-metal,Malon
300,psych-rock,Deep Purple
301,black-metal,Therion
302,j-pop,サザンオールスターズ
303,dance,Katy Perry
304,ska,Los Fabulosos Cadillacs
305,british,Paolo Nutini
306,edm,David Guetta;Becky Hill;Ella Henderson
307,hardcore,Dead Fish
308,black-metal,Hypocrisy
309,anime,Aimer
310,punk-rock,Ultraje a Rigor
311,trip-hop,Massive Attack
312,pagode,Ferrugem
313,idm,Rival Consoles
314,electro,Alec Benjamin
315,detroit-techno,Surgeon
316,gospel,Fernandinho
317,sleep,White Noise for Babies
318,disco,Bee Gees
319,singer-songwriter,Hozier
320,afrobeat,Plastilina Mosh
321,spanish,Mägo de Oz
322,salsa,Maelo Ruiz
323,r-n-b,Los Hermanos
324,singer-songwriter,Annie Lennox
325,groove,Pantera
326,chicago-house,Glenn Underground
327,idm,arai tasuku
328,death-metal,In Flames
329,grindcore,Carcass
330,acoustic,Masaharu Fukuyama
331,world-music,Hillsong Young & Free
332,emo,Paramore
333,power-pop,Shannon & The Clams
334,anime,Hiroyuki Sawano
335,mpb,Os Paralamas Do Sucesso
336,j-idol,NMB48
337,power-pop,Blondie
338,dancehall,Burna Boy;Ed Sheeran
339,trip-hop,Everything But The Girl
340,piano,Kate Bush
341,reggae,Justin Quiles;Robin Schulz
342,trance,Tiësto;Ava Max
343,iranian,Spuntic
344,children,Super Simple Songs
345,chill,keshi
346,honky-tonk,George Jones;Tammy Wynette
347,grindcore,Mortician
348,honky-tonk,Floyd Cramer
349,folk,Raghu Dixit
350,party,Andreas Gabalier
351,opera,Il Volo
352,guitar,Project AER;v i v
353,chicago-house,Ten City
354,study,Dusty Decks
355,power-pop,Squeeze
356,sleep,Nature Sounds
357,grunge,Foo Fighters
358,rockabilly,Los Teen Tops
359,alternative,Counting Crows
360,sleep,Granular
361,bluegrass,Alison Krauss & Union Station
362,kids,Desmond Dennis
363,dance,Ava Max
364,new-age,Tony O'Connor
365,minimal-techno,NTO
366,kids,Christopher Zondaflex Tyler
367,children,The Countdown Kids
368,soul,Otis Redding
369,power-pop,The Lemonheads
370,children,WowKidz
371,death-metal,Burgerkill
372,dubstep,Krewella
373,study,Beat Oven
374,industrial,VNV Nation
375,edm,Topic;A7S
376,edm,Zaeden
377,british,Lianne La Havas
378,alternative,GAYLE
379,blues,Cage The Elephant
380,punk,Surf Curse
381,trance,Tiësto
382,punk-rock,All Time Low
383,alt-rock,The Killers
384,r-n-b,Joan Sebastian
385,metal,Bon Jovi
386,detroit-techno,Moodymann
387,mpb,Roupa Nova
388,trip-hop,Morcheeba
389,iranian,Farzad Golpayegani
390,metalcore,I Prevail
391,emo,AFI
392,psych-rock,Cem Karaca
393,r-n-b,Lulu Santos
394,disney,Jon Sarta
395,anime,LiSA
396,disney,Alan Menken;Disney
397,idm,Kyson
398,show-tunes,Jubiläumscast Wien 2012
399,children,ChuChu TV
400,samba,RDN;Suel;Ferrugem
401,metal,Slipknot
402,punk-rock,The Offspring
403,latino,Chris Jedi;Anuel AA;Chencho Corleone;Ñengo Flow
404,grunge,Pearl Jam
405,groove,Machine Head
406,swedish,Zara Larsson
407,deep-house,James Hype;Miggy Dela Rosa
408,comedy,Kyle Kinane
409,hard-rock,Pitty
410,forro,Pablo
411,psych-rock,The Monkees
412,metalcore,Ice Nine Kills
413,iranian,Najand
414,iranian,Confess
415,heavy-metal,Ricardo Iorio
416,blues,Eric Burdon
417,sertanejo,Ícaro e Gilmar
418,power-pop,Hoodoo Gurus
419,metalcore,Architects
420,tango,Adriana Varela
